time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772058722,258,70,22,0,0,0,23.21359375,165183,55.67676801,1008.048208,43.39876992
1772058723,258,70,22,0,0,0,23.24074219,165338,55.60131879,1008.045098,43.4247664
1772058724,258,70,22,0,0,0,23.26457031,165183,55.5386291,1008.040427,43.46382345
1772058725,258,74,20,0,0,0,23.2815625,166274,55.48161366,1008.039664,43.47019851
1772058726,258,74,20,0,0,0,23.29992188,166588,55.43139138,1008.030048,43.55059592
1772058727,258,74,20,0,0,0,23.320625,167220,55.35514452,1008.025953,43.58483407
1772058728,252,68,14,0,0,0,23.34933594,167062,55.30636601,1008.027122,43.57505567
1772058729,252,68,14,0,0,0,23.38097656,166903,55.24482664,1008.029231,43.55742867
1772058730,252,68,14,0,0,0,23.4034375,167697,55.20180146,1008.026059,43.58394108
1772058731,282,76,14,0,0,0,23.42140625,167379,55.15158851,1008.024988,43.59289645
1772058732,282,76,14,0,0,0,23.451875,167379,55.09651126,1008.027077,43.57543463
1772058733,282,76,14,0,0,0,23.4909375,168177,55.06235732,1008.029843,43.55230949
1772058734,294,78,12,0,0,0,23.5315625,168338,55.03500015,1008.040565,43.46266452
1772058735,294,78,12,0,0,0,23.57199219,168499,55.00104079,1008.039965,43.46768138
1772058736,294,78,12,0,0,0,23.60929688,167062,54.96665981,1008.036276,43.4985268
1772058737,264,70,10,0,0,0,23.64757813,167697,54.94557024,1008.037786,43.48589803
1772058738,264,70,10,0,0,0,23.68175781,168984,54.91734683,1008.038343,43.48124294
1772058739,264,70,10,0,0,0,23.714375,168822,54.88233798,1008.043778,43.43580765
1772058740,300,82,16,0,0,0,23.74660156,168499,54.85385525,1008.044923,43.42623406
1772058741,300,82,16,0,0,0,23.77941406,168338,54.81888167,1008.046985,43.40899229
1772058742,300,82,16,0,0,0,23.81242188,168338,54.77736683,1008.045679,43.41991227
1772058743,354,100,22,2,0,0,23.84523438,169146,54.76211956,1008.047732,43.40274922
1772058744,354,100,22,2,0,0,23.87648438,168660,54.73351702,1008.054665,43.3447822
1772058745,354,100,22,2,0,0,23.90851563,168984,54.6918829,1008.059152,43.30726935
1772058746,348,94,22,2,0,0,23.94171875,169146,54.66355406,1008.05997,43.30042867
1772058747,348,94,22,2,0,0,23.97394531,169471,54.61538971,1008.057412,43.3218184
1772058748,348,94,22,2,0,0,24.00617188,168984,54.55410178,1008.060357,43.29719804
1772058749,360,98,22,2,0,0,24.03664063,170455,54.47946254,1008.060533,43.29572473
1772058750,360,98,22,2,0,0,24.06730469,169634,54.41799843,1008.064685,43.26101475
1772058751,360,98,22,2,0,0,24.09757813,169961,54.34337765,1008.064546,43.26217694
1772058752,336,98,22,2,0,0,24.12902344,169961,54.30173068,1008.066245,43.24796831
1772058753,336,98,22,2,0,0,24.16476563,169961,54.24755911,1008.069187,43.22337379
1772058754,336,98,22,2,0,0,24.19953125,169471,54.20637847,1008.065078,43.25772547
1772058755,312,90,22,2,0,0,24.23332031,169634,54.17162694,1008.068612,43.22818367
1772058756,312,90,22,2,0,0,24.26496094,170290,54.14969722,1008.065089,43.25763234
1772058757,312,90,22,2,0,0,24.29757813,170620,54.1147944,1008.066771,43.24357216
1772058758,288,86,26,2,0,0,24.32570313,171449,54.05307988,1008.070572,43.21179918
1772058759,288,86,26,2,0,0,24.345625,171951,53.97717339,1008.068822,43.22642545
1772058760,288,86,26,2,0,0,24.36339844,171616,53.8813651,1008.061856,43.28466056
1772058761,264,80,26,2,0,0,24.38839844,173304,53.81274992,1008.062574,43.27866257
1772058762,264,80,26,2,0,0,24.41359375,173304,53.72455904,1008.056247,43.33156101
1772058763,264,80,26,2,0,0,24.43703125,172794,53.64924407,1008.041641,43.45366835
1772058764,252,78,26,2,0,0,24.45539063,173304,53.56673587,1008.035588,43.50428071
1772058765,252,78,26,2,0,0,24.47394531,173988,53.46468889,1008.029839,43.55234243
