time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1771456797.3207219,174,40,7,1,0,0,34.20578125,559853,100,722.9113071253112,2758.687266796297
1771456798.331532,174,40,7,1,0,0,21.753046875,128932,37.98559873143163,1003.9904746457245,77.37867834093966
1771456799.3423245,174,40,7,1,0,0,21.7919140625,142252,37.95423576739368,1003.9989075881665,77.30794472556751
1771456800.353132,219,57,8,1,0,0,21.8378125,153528,37.90007934706509,1004.0060024858108,77.2484347001833
1771456801.365269,219,57,8,1,0,0,21.8801953125,164566,37.81034666102677,1004.0092157535053,77.22148281774287
1771456802.3773575,219,57,8,1,0,0,21.9188671875,174332,37.73202342898915,1004.0154972589554,77.1687957202529
1771456803.3894923,213,57,9,1,0,0,21.9516796875,188968,37.65901368584646,1004.0141076594309,77.18045117797749
1771456804.4016607,213,57,9,1,0,0,21.9790234375,196579,37.58548657911952,1004.0147622538057,77.1749606757219
1771456805.4130325,213,57,9,1,0,0,22.003046875,203147,37.505796399842865,1004.0118575077037,77.19932466371627
1771456806.425173,228,62,9,1,0,0,22.02453125,208651,37.431748476039026,1004.0102911836622,77.21246246220736
1771456807.4373612,228,62,9,1,0,0,22.04328125,214329,37.35746007505444,1004.0206473742628,77.12559853151888
1771456808.4495268,228,62,9,1,0,0,22.0596875,218106,37.29467908574552,1004.0253938645868,77.08578695295971
1771456809.4616957,216,61,10,1,0,0,22.0735546875,222304,37.249226102934344,1004.0296645512187,77.04996634729883
1771456810.4739118,216,61,10,1,0,0,22.0856640625,225486,37.19775987073091,1004.0274572137246,77.06848048962894
1771456811.4860783,216,61,10,1,0,0,22.09640625,228308,37.15787212159919,1004.0230371589251,77.1055539967693
1771456812.4983559,231,68,10,1,0,0,22.1065625,232287,37.12378361458487,1004.024935331219,77.08963293269824
1771456813.5105014,231,68,10,1,0,0,22.114765625,234013,37.095355818143204,1004.0273066738637,77.0697431506684
1771456814.5226455,231,68,10,1,0,0,22.1223828125,236246,37.07856746336231,1004.0269130491135,77.07304469979819
1771456815.5347955,237,70,7,1,0,0,22.1282421875,237541,37.04991557356052,1004.0273088392053,77.06972498875369
