time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772062386.7024958,0,0,0,0,0,0,144,44,5,1,0,0,23.70421875,179847,55.26687741879755,1009.1896337746198,33.86030165142076
1772062388.715597,0,0,0,0,0,0,156,44,5,1,0,0,23.7059765625,180769,55.175960662077664,1009.1906651439479,33.85168683713062
1772062390.7286594,0,0,0,0,0,0,156,44,5,1,0,0,23.707734375,181141,55.098100462540906,1009.1807677090063,33.93435835439266
1772062392.741669,0,0,0,0,0,0,156,44,5,1,0,0,23.71125,180399,55.053036754599184,1009.1791873955261,33.94755849316705
1772062394.753999,0,0,0,0,0,0,186,50,6,1,0,0,23.714375,181327,55.05996943011875,1009.1897234545281,33.859552573445725
1772062396.7668216,0,0,0,0,0,0,186,50,6,1,0,0,23.7188671875,187537,55.04757197591181,1009.1951924380098,33.81387137225875
1772062398.7798097,0,1,1,0,1,1,186,50,6,1,0,0,23.722578125,187740,55.00905014172147,1009.1939289748759,33.82442478066361
1772062400.7928052,0,1,1,0,1,1,204,54,6,1,0,0,23.726484375,188148,54.957557142451314,1009.1929824091586,33.832331226989126
1772062402.805967,0,1,1,0,1,1,204,54,6,1,0,0,23.72921875,188763,54.91891957769791,1009.18831240748,33.871338767754224
1772062404.8189664,0,1,1,0,1,1,204,54,6,1,0,0,23.733125,190004,54.8739496337317,1009.1928302945132,33.8336018062929
1772062406.832056,0,0,0,0,0,0,216,58,6,1,0,0,23.735078125,189072,54.84821908830294,1009.1941784614282,33.822340877711596
1772062408.845093,0,0,0,0,0,0,216,58,6,1,0,0,23.738203125,189278,54.77067539908185,1009.1956068891362,33.81040956245844
1772062410.8580718,0,0,0,0,0,0,216,58,6,1,0,0,23.7403515625,190109,54.71900569909248,1009.1936288841548,33.82693136897511
1772062412.8710644,0,1,1,0,1,1,240,62,8,2,0,0,23.744453125,190632,54.693587686149016,1009.2021067941547,33.75611758197532
1772062414.8837266,0,1,1,0,1,1,240,62,8,2,0,0,23.75109375,191052,54.675010865142596,1009.1764520051707,33.970406868033045
1772062416.8966475,0,1,1,0,1,1,240,62,8,2,0,0,23.7565625,190422,54.64329203281434,1009.158002829095,34.124511847090304
