time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772060524.753244,0,0,0,0,0,0,111,15,1,0,0,0,23.0723828125,89040,58.6329425978161,1008.5610010130922,39.112467700627036
1772060527.6219637,0,0,0,0,0,0,111,15,1,0,0,0,22.9891796875,92401,58.574750406693795,1008.55148791422,39.191969081022364
1772060529.8188696,0,0,0,0,0,0,114,16,1,0,0,0,22.9096875,96894,58.66936375092335,1008.5443325958302,39.25176678764168
1772060532.0139754,0,0,0,0,0,0,114,16,1,0,0,0,22.8282421875,99017,58.922783458945645,1008.5394365241789,39.292683942765926
1772060534.2091703,0,0,0,0,0,0,114,16,1,0,0,0,22.7425,101119,59.036535308636985,1008.5402658821579,39.28575287089952
1772060536.4024577,0,0,0,0,0,0,132,22,2,0,0,0,22.6637890625,103070,59.005402441617505,1008.5379327469511,39.30525125152888
1772060538.5950863,0,0,0,0,0,0,132,22,2,0,0,0,22.5602734375,104911,59.176368804010075,1008.5334695610017,39.34255090550658
1772060540.7877948,0,0,0,0,0,0,132,22,2,0,0,0,22.4735546875,106495,59.31665435285237,1008.5326104481455,39.349730682705406
1772060542.9833777,0,0,0,0,0,0,144,26,2,0,0,0,22.3700390625,108729,59.31513794444851,1008.5316968129586,39.35736611931642
1772060545.1763792,0,0,0,0,0,0,144,26,2,0,0,0,22.2520703125,109950,59.41117419569896,1008.5363308470612,39.318638603893596
1772060547.369512,0,0,0,0,0,0,144,26,2,0,0,0,22.1315625,112261,59.653111539731846,1008.5367750574229,39.31492625992181
1772060549.564975,0,0,0,0,0,0,126,30,2,0,0,0,22.02921875,113490,59.84465754152414,1008.5448746187099,39.24723703656449
1772060551.7589912,0,0,0,0,0,0,126,30,2,0,0,0,21.939765625,115121,59.92501087706339,1008.5411811512475,39.278103832056644
1772060553.9529667,0,0,0,0,0,0,126,30,2,0,0,0,21.8485546875,116337,60.04509517176177,1008.5364117831762,39.31796220647346
1772060556.1460633,0,1,1,0,1,1,138,34,5,1,0,0,21.755,117578,60.178228724770264,1008.5423239926536,39.2685529456758
1772060558.3384926,0,1,1,0,1,1,138,34,5,1,0,0,21.678046875,118209,60.46056909049241,1008.5406895810073,39.28221195639483
1772060560.5311518,0,1,1,0,1,1,138,34,5,1,0,0,21.6106640625,119816,60.91845238980429,1008.5328042796947,39.34811079342133
1772060562.7243354,0,1,1,0,1,1,144,36,5,1,0,0,21.546015625,120719,61.257111458278516,1008.5347929478261,39.33149110799684
1772060564.9180174,0,1,1,0,1,1,144,36,5,1,0,0,21.481171875,121972,61.435314719773956,1008.5418905150316,39.272175578106896
1772060567.11049,0,1,1,0,1,1,144,36,5,1,0,0,21.4223828125,122822,61.65479837962786,1008.5388501006856,39.29758477665099
1772060569.3031242,0,1,1,0,1,1,126,36,5,1,0,0,21.3555859375,123338,62.05477927669496,1008.5391036530318,39.29546579930614
1772060571.4963655,0,1,1,0,1,1,126,36,5,1,0,0,21.2837109375,125713,62.23257983531064,1008.5437793665822,39.25639019373113
1772060573.6896045,0,1,1,0,1,1,126,36,5,1,0,0,21.225703125,126254,62.31156165539353,1008.5401443876424,39.28676821891279
1772060575.882812,0,1,1,0,1,1,261,44,7,2,1,0,21.1751171875,126073,62.45900226460408,1008.5431266212101,39.261845271169705
1772060578.0771775,0,1,1,0,1,1,261,44,7,2,1,0,21.1270703125,127903,62.600170725803515,1008.5447854024883,39.24798262723311
1772060580.270015,0,1,1,0,1,1,261,44,7,2,1,0,21.074921875,129121,62.639684584532816,1008.5397601008252,39.289979762538536
1772060582.4634225,0,1,1,0,1,1,261,44,7,2,1,0,21.0157421875,130652,62.657947252784574,1008.5396074712467,39.29125531151566
1772060584.6564083,0,1,1,0,1,1,261,44,7,2,1,0,20.9591015625,131432,62.663104707963974,1008.5345024401653,39.333918935231374
1772060586.8494227,0,1,1,0,1,1,261,44,7,2,1,0,20.9016796875,133624,62.66141041352644,1008.5335533053486,39.34185103759081
1772060589.0442977,0,0,1,0,0,1,243,40,7,2,1,0,20.8458203125,133929,62.700393202908096,1008.5351326278492,39.32865233879345
1772060591.2382886,0,0,1,0,0,1,243,40,7,2,1,0,20.7954296875,134337,62.77389974270222,1008.5401590269082,39.286645876356225
1772060593.4312572,0,0,1,0,0,1,243,40,7,2,1,0,20.750703125,135995,62.848260742877486,1008.5435139891762,39.258607986666256
1772060595.6220262,0,0,1,0,0,1,237,36,4,1,1,0,20.7118359375,136734,62.950498638070044,1008.5328280127324,39.347912451667305
1772060597.8148973,0,0,1,0,0,1,237,36,4,1,1,0,20.6723828125,137695,63.13373140239,1008.5356861847697,39.32402616218704
1772060600.0081553,0,0,1,0,0,1,237,36,4,1,1,0,20.6399609375,137160,63.27759609298136,1008.5336679563945,39.34089287640932
