time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772061226.5345771,0,4,4,0,4,4,582,122,36,12,0,0,23.2391796875,144349,57.936058127873636,1008.6388194997367,38.462158025456304
1772061228.5475702,0,4,4,0,4,4,582,122,36,12,0,0,23.2188671875,147120,57.84741243440204,1008.6276934516171,38.55513314436696
1772061230.5604877,0,4,4,0,4,4,582,122,36,12,0,0,23.20421875,148986,57.84534347730126,1008.6275792579213,38.55608741134721
1772061232.5722122,1,5,5,1,5,5,513,114,31,11,0,0,23.1735546875,151028,57.926779351527315,1008.6214890497118,38.60698075561718
1772061234.5839636,1,5,5,1,5,5,513,114,31,11,0,0,23.133125,153128,57.93426323484813,1008.6213821497602,38.60787407640199
1772061236.596944,1,5,5,1,5,5,513,114,31,11,0,0,23.0801953125,155013,57.82124434680942,1008.6246331738299,38.58070658322704
1772061238.6100357,1,4,4,1,4,4,468,108,30,10,0,0,23.02921875,155560,57.88660382295609,1008.6110269437917,38.69440881680048
1772061240.6222005,1,4,4,1,4,4,468,108,30,10,0,0,22.9692578125,157366,58.08271906519148,1008.6046580656141,38.747631603587664
1772061242.6352065,1,4,4,1,4,4,468,108,30,10,0,0,22.9008984375,157789,58.21834977417868,1008.5991922037751,38.79330837320646
1772061244.647925,1,4,4,1,4,4,363,100,28,9,0,0,22.82609375,159791,58.40603705677009,1008.5905170927923,38.86580440523243
1772061246.6579807,1,4,4,1,4,4,363,100,28,9,0,0,22.739765625,161401,58.5657714466426,1008.592206094616,38.85168974157806
1772061248.670208,1,4,4,1,4,4,363,100,28,9,0,0,22.6438671875,162592,58.67790599957143,1008.5910476610751,38.86137054599397
1772061250.6819408,1,3,3,1,3,3,300,81,23,8,0,0,22.5286328125,163953,58.694642362597136,1008.5875318185005,38.89075181559566
1772061252.6927035,1,3,3,1,3,3,300,81,23,8,0,0,22.4188671875,164566,58.85785272249376,1008.5746638251185,38.99828804943104
1772061254.7045174,1,3,3,1,3,3,300,81,23,8,0,0,22.3208203125,165183,59.09577592174678,1008.5716980932563,39.02307246239371
1772061256.7163467,1,3,3,1,3,3,294,81,17,8,0,0,22.2216015625,166117,59.34705647800947,1008.5776897761806,38.97300044965405
1772061258.7293499,1,3,3,1,3,3,294,81,17,8,0,0,22.1067578125,168017,59.622967167901365,1008.585497784451,38.90774991339292
1772061260.7427056,1,3,3,1,3,3,294,81,17,8,0,0,21.957734375,168499,59.84106559290062,1008.5722039574498,39.01884498667176
1772061262.755681,1,2,2,1,2,2,276,75,14,5,0,0,21.733125,169961,60.048517357508906,1008.5321833988345,39.35329962067548
1772061264.768745,1,2,2,1,2,2,276,75,14,5,0,0,21.4596875,172287,60.389138804113955,1008.5232871256062,39.4276478640664
1772061266.7816942,1,2,2,1,2,2,276,75,14,5,0,0,21.18078125,172625,60.822961576340845,1008.5360122504006,39.32130117292775
1772061268.7947433,1,2,2,1,2,2,246,63,10,4,0,0,20.9458203125,173474,61.498349253853334,1008.5273995822399,39.3932790327555
1772061270.8077052,1,2,2,1,2,2,246,63,10,4,0,0,20.6719921875,175898,62.049106002945564,1008.5096693819457,39.54145557259359
1772061272.8206406,1,2,2,1,2,2,246,63,10,4,0,0,20.4020703125,177671,62.56130853628004,1008.5124781640499,39.5179816072991
1772061274.8324451,1,1,1,1,1,1,240,61,9,3,0,0,20.148359375,177492,63.137736160740445,1008.5123824034334,39.518781911080765
1772061276.844186,1,1,1,1,1,1,240,61,9,3,0,0,19.911640625,179664,63.73838740426798,1008.4998485370321,39.62353219260487
1772061278.8564174,1,1,1,1,1,1,240,61,9,3,0,0,19.682734375,180584,64.32816805714576,1008.5179081386843,39.472601577868204
1772061280.869357,0,1,1,0,1,1,222,55,6,2,0,0,19.4751171875,187944,64.90218909296662,1008.5324265620187,39.3512674563283
1772061282.8824246,0,1,1,0,1,1,222,55,6,2,0,0,19.291328125,180399,65.43343398207213,1008.5367532731715,39.3151083147059
1772061284.8953846,0,1,1,0,1,1,222,55,6,2,0,0,19.122578125,187638,65.96814560361008,1008.5310911957743,39.36242738940153
1772061286.908326,0,0,0,0,0,0,180,39,3,1,0,0,18.96828125,188557,66.43774321423278,1008.5199503308078,39.45553437831043
1772061288.9212806,0,0,0,0,0,0,180,39,3,1,0,0,18.832734375,189589,66.93171570334921,1008.5139888608508,39.50535621256893
1772061290.9342337,0,0,0,0,0,0,180,39,3,1,0,0,18.709296875,189589,67.36665502861277,1008.5222838511618,39.43603249739635
1772061292.9472866,0,0,0,0,0,0,180,41,3,1,0,0,18.6001171875,191474,67.81836448554822,1008.5266679947977,39.39939308415886
1772061294.9604025,0,0,0,0,0,0,180,41,3,1,0,0,18.507734375,191686,68.21826996961624,1008.5295012150791,39.375715203933346
