timestamp,cps,cps_err,usv_hr
1776900955.0864732,0.5,0.5,0.006267
1776900957.1020172,0.0,0.0,0.0
1776900959.128396,0.0,0.0,0.0
1776900961.139128,0.0,0.0,0.0
1776900963.1846073,0.0,0.0,0.0
1776900965.185969,0.5,0.5,0.006267
1776900967.1885793,0.0,0.0,0.0
1776900969.1775079,0.0,0.0,0.0
1776900971.2031634,0.0,0.0,0.0
1776900973.2293735,0.0,0.0,0.0
1776900975.2428691,0.0,0.0,0.0
1776900977.2734528,0.0,0.0,0.0
1776900979.2823253,0.0,0.0,0.0
1776900981.2863488,0.0,0.0,0.0
1776900983.2793715,0.5,0.5,0.006267
1776900985.2911403,0.0,0.0,0.0
1776900987.3079605,0.0,0.0,0.0
1776900989.3162475,0.5,0.5,0.006267
1776900991.3619952,0.0,0.0,0.0
1776900993.3807237,0.0,0.0,0.0
1776900995.3760054,0.0,0.0,0.0
1776900997.3724103,0.0,0.0,0.0
1776900999.3829336,0.5,0.5,0.006267
1776901001.400821,0.0,0.0,0.0
1776901003.4366107,0.5,0.5,0.006267
1776901005.4466312,0.0,0.0,0.0
1776901007.4713316,0.0,0.0,0.0
1776901009.486058,0.0,0.0,0.0
1776901011.5056756,0.0,0.0,0.0
1776901013.4828298,0.0,0.0,0.0
1776901015.4985497,0.0,0.0,0.0
1776901017.5226204,0.0,0.0,0.0
1776901019.5513663,0.0,0.0,0.0
1776901021.579248,0.5,0.5,0.006267
1776901023.5883265,0.0,0.0,0.0
1776901025.5928128,0.0,0.0,0.0
1776901027.6164763,0.0,0.0,0.0
1776901029.5988076,1.0,0.7071067811865476,0.012534
1776901031.6233714,0.5,0.5,0.006267
1776901033.646309,0.0,0.0,0.0
1776901035.6715057,0.5,0.5,0.006267
1776901037.6892567,0.0,0.0,0.0
1776901039.697011,0.0,0.0,0.0
1776901041.6819367,0.0,0.0,0.0
1776901043.6990895,0.5,0.5,0.006267
1776901045.7426116,0.0,0.0,0.0
1776901047.7214487,0.0,0.0,0.0
1776901049.746645,0.0,0.0,0.0
1776901051.790935,0.0,0.0,0.0
1776901053.7664497,0.5,0.5,0.006267
1776901055.7851129,0.0,0.0,0.0
1776901057.8244135,0.5,0.5,0.006267
1776901059.8291507,0.5,0.5,0.006267
1776901061.8513079,0.0,0.0,0.0
1776901063.8761878,0.0,0.0,0.0
1776901065.8406055,0.0,0.0,0.0
1776901067.8800828,0.0,0.0,0.0
1776901069.9076157,1.0,0.7071067811865476,0.012534
1776901071.884334,0.0,0.0,0.0
1776901073.9179196,0.0,0.0,0.0
1776901075.9470017,0.0,0.0,0.0
1776901077.9730709,0.0,0.0,0.0
1776901079.9997976,0.0,0.0,0.0
1776901081.9963865,0.0,0.0,0.0
1776901084.0110252,0.0,0.0,0.0
1776901085.9952118,0.5,0.5,0.006267
1776901088.0329664,0.0,0.0,0.0
1776901090.0549405,0.0,0.0,0.0
1776901092.0420854,0.0,0.0,0.0
1776901094.0619788,0.0,0.0,0.0
1776901096.0733466,0.0,0.0,0.0
1776901098.1059563,0.0,0.0,0.0
1776901100.1220357,0.0,0.0,0.0
1776901102.1161935,0.0,0.0,0.0
1776901104.1086645,0.0,0.0,0.0
1776901106.1272812,1.0,0.7071067811865476,0.012534
1776901108.1630292,0.0,0.0,0.0
1776901110.1489258,0.0,0.0,0.0
1776901112.183991,0.0,0.0,0.0
1776901114.208522,0.0,0.0,0.0
1776901116.2361972,0.5,0.5,0.006267
1776901118.2183325,0.0,0.0,0.0
1776901120.2619677,0.0,0.0,0.0
1776901122.253466,0.0,0.0,0.0
1776901124.2709367,0.0,0.0,0.0
1776901126.2887352,1.0,0.7071067811865476,0.012534
1776901128.31986,0.0,0.0,0.0
1776901130.3372223,0.0,0.0,0.0
1776901132.3133178,0.0,0.0,0.0
1776901134.331478,0.5,0.5,0.006267
1776901136.3511746,0.0,0.0,0.0
1776901138.3484685,0.0,0.0,0.0
1776901140.4120116,1.0,0.7071067811865476,0.012534
1776901142.3903015,0.0,0.0,0.0
1776901144.4161682,0.0,0.0,0.0
1776901146.4433095,0.0,0.0,0.0
1776901148.4345262,0.0,0.0,0.0
1776901150.4835913,0.0,0.0,0.0
1776901152.4513178,0.5,0.5,0.006267
1776901154.4717264,0.0,0.0,0.0
1776901156.510381,0.5,0.5,0.006267
1776901158.5318475,0.5,0.5,0.006267
1776901160.5121405,1.0,0.7071067811865476,0.012534
1776901162.5239246,0.5,0.5,0.006267
1776901164.5387344,0.0,0.0,0.0
1776901166.617176,1.0,0.7071067811865476,0.012534
1776901168.5961661,0.5,0.5,0.006267
1776901170.6124482,0.0,0.0,0.0
1776901172.5940173,0.5,0.5,0.006267
1776901174.6147888,0.5,0.5,0.006267
1776901176.6312506,0.0,0.0,0.0
1776901178.6655648,0.0,0.0,0.0
1776901180.682041,0.0,0.0,0.0
1776901182.7076912,0.5,0.5,0.006267
1776901184.676438,0.5,0.5,0.006267
1776901186.7026587,0.0,0.0,0.0
1776901188.7273664,0.0,0.0,0.0
1776901190.7437634,0.0,0.0,0.0
1776901192.7681773,0.5,0.5,0.006267
1776901194.7445543,0.5,0.5,0.006267
1776901196.7680185,0.0,0.0,0.0
1776901198.7874799,0.0,0.0,0.0
1776901200.8071115,0.0,0.0,0.0
1776901202.8345592,0.5,0.5,0.006267
1776901204.8582525,0.5,0.5,0.006267
1776901206.8407083,1.0,0.7071067811865476,0.012534
1776901208.8570206,0.0,0.0,0.0
1776901210.8900282,0.5,0.5,0.006267
1776901212.9043028,0.0,0.0,0.0
1776901214.9200275,0.0,0.0,0.0
1776901216.9468637,0.0,0.0,0.0
1776901218.9145854,0.0,0.0,0.0
1776901220.942698,0.0,0.0,0.0
1776901222.9676023,0.0,0.0,0.0
1776901224.9843054,0.0,0.0,0.0
1776901226.9722726,0.0,0.0,0.0
1776901228.9896085,0.0,0.0,0.0
1776901231.0202096,0.0,0.0,0.0
1776901233.0284007,0.5,0.5,0.006267
1776901235.0477967,0.0,0.0,0.0
1776901237.092977,0.5,0.5,0.006267
1776901239.110645,0.0,0.0,0.0
1776901241.0761807,1.0,0.7071067811865476,0.012534
1776901243.1042516,0.0,0.0,0.0
1776901245.1215572,0.0,0.0,0.0
1776901247.1575835,0.5,0.5,0.006267
1776901249.1762228,0.5,0.5,0.006267
1776901251.1899555,0.5,0.5,0.006267
1776901253.1710632,0.0,0.0,0.0
1776901255.1845543,0.5,0.5,0.006267
1776901257.2027965,0.0,0.0,0.0
1776901259.252669,0.0,0.0,0.0
1776901261.2188442,0.0,0.0,0.0
1776901263.2447653,0.0,0.0,0.0
1776901265.2623787,0.0,0.0,0.0
1776901267.298399,1.0,0.7071067811865476,0.012534
1776901269.2791338,0.0,0.0,0.0
1776901271.309424,1.0,0.7071067811865476,0.012534
1776901273.3357658,0.5,0.5,0.006267
1776901275.3196366,0.0,0.0,0.0
1776901277.359208,0.0,0.0,0.0
1776901279.3780951,0.0,0.0,0.0
1776901281.3839476,0.0,0.0,0.0
1776901283.390036,0.0,0.0,0.0
1776901285.3877206,0.0,0.0,0.0
1776901287.423374,0.0,0.0,0.0
1776901289.4443536,0.0,0.0,0.0
1776901291.4728386,1.0,0.7071067811865476,0.012534
1776901293.4520624,0.0,0.0,0.0
1776901295.4691684,0.5,0.5,0.006267
1776901297.5155299,0.0,0.0,0.0
1776901299.4881427,0.0,0.0,0.0
1776901301.5131373,0.0,0.0,0.0
1776901303.5490746,0.0,0.0,0.0
1776901305.5678337,0.0,0.0,0.0
1776901307.5483143,0.0,0.0,0.0
1776901309.5714338,0.0,0.0,0.0
1776901311.6032903,0.0,0.0,0.0
1776901313.6193545,0.0,0.0,0.0
1776901315.60251,0.5,0.5,0.006267
1776901317.6241949,0.0,0.0,0.0
1776901319.660738,0.0,0.0,0.0
1776901321.647278,0.0,0.0,0.0
1776901323.6714997,0.0,0.0,0.0
1776901325.7005413,1.0,0.7071067811865476,0.012534
1776901327.6922426,0.0,0.0,0.0
1776901329.7049582,0.0,0.0,0.0
1776901331.7434506,0.0,0.0,0.0
1776901333.7578483,0.0,0.0,0.0
1776901335.7821143,0.0,0.0,0.0
1776901337.7860188,0.0,0.0,0.0
1776901339.8050964,0.0,0.0,0.0
1776901341.8411064,0.0,0.0,0.0
1776901343.8274608,0.0,0.0,0.0
1776901345.8433318,0.5,0.5,0.006267
1776901347.827901,0.5,0.5,0.006267
1776901349.841032,0.0,0.0,0.0
1776901351.880752,0.0,0.0,0.0
1776901353.9066908,0.0,0.0,0.0
1776901355.9290686,0.0,0.0,0.0
1776901357.909212,0.0,0.0,0.0
1776901359.9396148,0.0,0.0,0.0
1776901361.9713614,0.0,0.0,0.0
1776901363.9497964,1.0,0.7071067811865476,0.012534
1776901365.9816525,0.0,0.0,0.0
1776901368.0117714,0.0,0.0,0.0
1776901370.0371993,0.0,0.0,0.0
1776901372.0304785,0.0,0.0,0.0
1776901374.0446916,0.5,0.5,0.006267
1776901376.069797,0.0,0.0,0.0
1776901378.0527942,0.0,0.0,0.0
1776901380.0716422,0.0,0.0,0.0
1776901382.1124473,0.5,0.5,0.006267
1776901384.1025531,0.0,0.0,0.0
1776901386.115522,0.0,0.0,0.0
1776901388.1610858,0.0,0.0,0.0
1776901390.1425283,0.0,0.0,0.0
1776901392.1756337,0.0,0.0,0.0
1776901394.1939447,1.0,0.7071067811865476,0.012534
1776901396.18513,0.5,0.5,0.006267
1776901398.1960554,0.5,0.5,0.006267
1776901400.2247264,0.5,0.5,0.006267
1776901402.219545,0.0,0.0,0.0
1776901404.2413647,0.5,0.5,0.006267
1776901406.2490911,0.0,0.0,0.0
1776901408.2936394,0.0,0.0,0.0
1776901410.262368,0.5,0.5,0.006267
1776901412.294182,0.5,0.5,0.006267
1776901414.3118212,0.0,0.0,0.0
1776901416.3347144,0.0,0.0,0.0
1776901418.314124,0.5,0.5,0.006267
1776901420.3307292,0.0,0.0,0.0
1776901422.383439,0.0,0.0,0.0
1776901424.365934,0.5,0.5,0.006267
1776901426.3897605,0.0,0.0,0.0
1776901428.4447553,0.0,0.0,0.0
1776901430.4144735,0.0,0.0,0.0
1776901432.4503467,0.0,0.0,0.0
1776901434.4339697,0.0,0.0,0.0
1776901436.4629722,0.5,0.5,0.006267
1776901438.485233,0.5,0.5,0.006267
1776901440.4827929,0.0,0.0,0.0
1776901442.5056353,0.0,0.0,0.0
1776901444.5243719,0.0,0.0,0.0
1776901446.5209334,0.0,0.0,0.0
1776901448.538483,0.0,0.0,0.0
1776901450.5520537,0.0,0.0,0.0
1776901452.5639572,0.0,0.0,0.0
1776901454.5776548,0.5,0.5,0.006267
1776901456.6028469,0.0,0.0,0.0
1776901458.591944,0.5,0.5,0.006267
1776901460.6085486,0.0,0.0,0.0
1776901462.6343539,0.5,0.5,0.006267
1776901464.681929,0.5,0.5,0.006267
1776901466.6525311,0.0,0.0,0.0
1776901468.6707432,0.5,0.5,0.006267
1776901470.7022562,0.5,0.5,0.006267
1776901472.729982,0.0,0.0,0.0
1776901474.7015643,0.0,0.0,0.0
1776901476.7596774,0.0,0.0,0.0
1776901478.7794456,0.0,0.0,0.0
1776901480.747302,0.0,0.0,0.0
1776901482.7841208,0.0,0.0,0.0
1776901484.8189077,0.0,0.0,0.0
