timestamp,cps,cps_err,usv_hr
1776897753.5272508,5.5,1.6583123951777,0.068937
1776897755.5142412,3.5,1.3228756555322954,0.043869
1776897757.5417295,7.5,1.9364916731037085,0.094005
1776897759.5679142,5.0,1.5811388300841898,0.06267
1776897761.5660563,4.0,1.4142135623730951,0.050136
1776897763.604802,4.0,1.4142135623730951,0.050136
1776897765.6313584,4.5,1.5,0.056403
1776897767.6220334,9.5,2.179449471770337,0.119073
1776897769.6448162,6.0,1.7320508075688772,0.075204
1776897771.6755219,7.0,1.8708286933869707,0.087738
1776897773.7029042,8.5,2.0615528128088303,0.106539
1776897775.739167,4.5,1.5,0.056403
1776897777.7665741,6.0,1.7320508075688772,0.075204
1776897779.792722,6.0,1.7320508075688772,0.075204
1776897781.7678692,3.5,1.3228756555322954,0.043869
1776897783.7936122,5.0,1.5811388300841898,0.06267
1776897785.815474,5.0,1.5811388300841898,0.06267
1776897787.8374147,7.0,1.8708286933869707,0.087738
1776897789.8653276,5.0,1.5811388300841898,0.06267
1776897791.8868203,7.0,1.8708286933869707,0.087738
1776897793.9146142,8.0,2.0,0.100272
1776897795.945261,4.5,1.5,0.056403
1776897797.9674852,5.0,1.5811388300841898,0.06267
1776897799.9687605,7.5,1.9364916731037085,0.094005
1776897801.9910107,6.5,1.8027756377319946,0.081471
1776897804.0089586,13.0,2.5495097567963922,0.162942
1776897806.035837,7.0,1.8708286933869707,0.087738
1776897808.0541167,5.5,1.6583123951777,0.068937
1776897810.0791354,6.0,1.7320508075688772,0.075204
1776897812.1009507,4.5,1.5,0.056403
1776897814.1285732,6.5,1.8027756377319946,0.081471
1776897816.1180615,4.5,1.5,0.056403
1776897818.133858,6.0,1.7320508075688772,0.075204
1776897820.1545787,7.5,1.9364916731037085,0.094005
1776897822.1739042,3.0,1.224744871391589,0.037602
1776897824.1913657,6.0,1.7320508075688772,0.075204
1776897826.235369,8.5,2.0615528128088303,0.106539
1776897828.2565029,7.5,1.9364916731037085,0.094005
1776897830.2810903,5.5,1.6583123951777,0.068937
1776897832.3030736,7.0,1.8708286933869707,0.087738
1776897834.317558,8.5,2.0615528128088303,0.106539
1776897836.34364,4.0,1.4142135623730951,0.050136
1776897838.328208,5.0,1.5811388300841898,0.06267
1776897840.3568008,5.5,1.6583123951777,0.068937
1776897842.3703325,4.5,1.5,0.056403
1776897844.4138725,8.0,2.0,0.100272
1776897846.4397545,4.0,1.4142135623730951,0.050136
1776897848.4567714,6.5,1.8027756377319946,0.081471
1776897850.4549499,6.0,1.7320508075688772,0.075204
1776897852.4785428,7.0,1.8708286933869707,0.087738
1776897854.4938843,7.0,1.8708286933869707,0.087738
1776897856.525284,8.5,2.0615528128088303,0.106539
1776897858.5392892,5.0,1.5811388300841898,0.06267
1776897860.5722182,6.0,1.7320508075688772,0.075204
1776897862.5867684,6.0,1.7320508075688772,0.075204
1776897864.608849,6.0,1.7320508075688772,0.075204
1776897866.6062288,9.0,2.1213203435596424,0.112806
1776897868.6220076,10.0,2.23606797749979,0.12534
1776897870.6497755,7.5,1.9364916731037085,0.094005
1776897872.7053921,5.0,1.5811388300841898,0.06267
1776897874.7303286,8.0,2.0,0.100272
1776897876.7086446,6.5,1.8027756377319946,0.081471
1776897878.7410412,8.0,2.0,0.100272
1776897880.772158,7.0,1.8708286933869707,0.087738
1776897882.7829008,3.5,1.3228756555322954,0.043869
1776897884.7866025,8.0,2.0,0.100272
1776897886.8005025,8.5,2.0615528128088303,0.106539
1776897888.8198392,5.5,1.6583123951777,0.068937
1776897890.8609552,2.0,1.0,0.025068
1776897892.8768218,10.0,2.23606797749979,0.12534
1776897894.8976257,7.5,1.9364916731037085,0.094005
1776897896.9037852,5.5,1.6583123951777,0.068937
1776897898.9166324,4.5,1.5,0.056403
1776897900.94911,10.0,2.23606797749979,0.12534
