timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776897754.9397273,0.0,0.0,0.0,0.0,0.0,0.0
1776897758.9458084,0.0,0.0,0.0,0.0,0.0,0.0
1776897762.976942,0.0,0.0,0.0,0.0,0.0,0.0
1776897766.997849,0.0,0.0,0.0,0.0,0.0,0.0
1776897770.9960437,0.0,0.0,1.0,0.0,1.0,0.0
1776897775.0145013,0.0,0.0,0.5,0.5,0.5,0.5
1776897779.009616,0.0,0.0,0.0,0.0,0.0,0.0
1776897783.0192237,0.0,0.0,1.0,0.0,1.0,0.0
1776897787.0106401,0.0,0.0,1.0,0.0,1.0,0.0
1776897791.0570378,0.0,0.0,1.0,0.0,1.0,0.0
1776897795.0635688,0.0,0.0,1.0,0.0,2.0,0.0
1776897799.0651343,0.0,0.0,1.0,0.0,1.5,0.5
1776897803.0797431,0.0,0.0,1.0,0.0,1.0,0.0
1776897807.0696363,0.0,0.0,1.0,0.0,1.0,0.0
1776897811.1157591,0.0,0.0,1.0,0.0,1.0,0.0
1776897815.1309636,0.0,0.0,1.0,0.0,1.0,0.0
1776897819.115416,0.0,0.0,1.0,0.0,1.0,0.0
1776897823.1052625,0.0,0.0,0.5,0.5,1.0,0.0
1776897827.118672,0.0,0.0,0.0,0.0,1.0,0.0
1776897831.1632624,0.0,0.0,0.0,0.0,1.0,0.0
1776897835.156626,0.0,0.0,0.0,0.0,1.0,0.0
1776897839.15615,0.0,0.0,0.0,0.0,1.0,0.0
1776897843.1621397,0.0,0.0,0.0,0.0,1.0,0.0
1776897847.1614606,0.0,0.0,0.0,0.0,1.0,0.0
1776897851.1794145,0.0,0.0,0.0,0.0,1.0,0.0
1776897855.1800058,0.0,0.0,0.0,0.0,0.0,0.0
1776897859.2110534,0.0,0.0,0.0,0.0,0.0,0.0
1776897863.2065618,0.0,0.0,0.0,0.0,0.0,0.0
1776897867.227455,0.0,0.0,0.0,0.0,0.0,0.0
1776897871.2340393,0.0,0.0,0.0,0.0,0.0,0.0
1776897875.260725,0.0,0.0,0.0,0.0,0.0,0.0
1776897879.2589395,0.0,0.0,0.0,0.0,0.0,0.0
1776897883.258329,0.0,0.0,0.0,0.0,0.0,0.0
1776897887.2706156,0.0,0.0,0.0,0.0,0.0,0.0
1776897891.2779222,0.0,0.0,0.0,0.0,0.0,0.0
1776897895.3229535,0.0,0.0,0.0,0.0,0.0,0.0
1776897899.3366547,0.0,0.0,0.0,0.0,0.0,0.0
1776897903.3374815,0.0,0.0,0.0,0.0,0.0,0.0
1776897907.301135,0.0,0.0,0.0,0.0,0.0,0.0
1776897911.3489673,0.0,0.0,0.0,0.0,0.0,0.0
1776897915.3472438,0.0,0.0,0.0,0.0,0.0,0.0
1776897919.3449013,0.0,0.0,0.0,0.0,0.0,0.0
1776897923.385349,0.0,0.0,0.0,0.0,0.0,0.0
1776897927.374002,0.0,0.0,0.0,0.0,0.0,0.0
1776897931.411437,0.0,0.0,0.0,0.0,0.0,0.0
1776897935.4140692,0.0,0.0,0.0,0.0,0.0,0.0
1776897939.4174676,0.0,0.0,0.0,0.0,0.0,0.0
1776897943.4201405,0.0,0.0,0.0,0.0,0.0,0.0
1776897947.4102836,0.0,0.0,0.0,0.0,0.0,0.0
1776897951.414884,0.0,0.0,0.0,0.0,0.0,0.0
1776897955.4658906,0.0,0.0,0.0,0.0,0.0,0.0
1776897959.458806,0.0,0.0,0.0,0.0,0.0,0.0
1776897963.4844153,0.0,0.0,0.0,0.0,0.0,0.0
1776897967.4987757,0.0,0.0,0.0,0.0,0.0,0.0
1776897971.4986265,0.0,0.0,0.0,0.0,0.0,0.0
1776897975.5176392,0.0,0.0,0.0,0.0,0.0,0.0
1776897979.5073981,0.0,0.0,0.0,0.0,0.0,0.0
1776897983.508544,0.0,0.0,0.0,0.0,0.0,0.0
1776897987.5095878,0.0,0.0,0.0,0.0,0.0,0.0
1776897991.5170314,0.0,0.0,0.0,0.0,0.0,0.0
1776897995.5644786,0.0,0.0,0.0,0.0,0.0,0.0
1776897999.5682323,0.0,0.0,0.0,0.0,0.0,0.0
1776898003.5898948,0.0,0.0,0.0,0.0,0.0,0.0
1776898007.5860145,0.0,0.0,0.0,0.0,0.0,0.0
1776898011.603677,0.0,0.0,0.0,0.0,0.0,0.0
1776898015.6197646,0.0,0.0,0.0,0.0,0.0,0.0
1776898019.603847,0.0,0.0,0.0,0.0,0.0,0.0
1776898023.6049433,0.0,0.0,0.0,0.0,0.0,0.0
1776898027.600284,0.0,0.0,0.0,0.0,0.0,0.0
1776898031.628791,0.0,0.0,0.0,0.0,0.0,0.0
1776898035.614544,0.0,0.0,1.0,0.0,1.0,0.0
1776898039.630129,0.0,0.0,1.0,0.0,1.0,0.0
1776898043.6480377,0.0,0.0,1.0,0.0,1.0,0.0
1776898047.6879444,0.0,0.0,1.0,0.0,1.0,0.0
1776898051.6541545,0.0,0.0,1.0,0.0,1.0,0.0
1776898055.6760662,0.0,0.0,1.0,0.0,1.0,0.0
1776898059.7098556,0.0,0.0,1.0,0.0,1.0,0.0
1776898063.719781,0.0,0.0,1.0,0.0,1.0,0.0
1776898067.7141826,0.0,0.0,1.0,0.0,1.0,0.0
1776898071.745999,0.0,0.0,1.0,0.0,1.0,0.0
1776898075.7454257,0.0,0.0,1.0,0.0,1.0,0.0
1776898079.750866,0.0,0.0,1.0,0.0,1.0,0.0
1776898083.746403,0.0,0.0,1.0,0.0,1.0,0.0
1776898087.7474751,0.0,0.0,1.0,0.0,1.0,0.0
1776898091.7540934,0.0,0.0,1.0,0.0,1.0,0.0
1776898095.798485,0.0,0.0,0.0,0.0,1.0,0.0
1776898099.8003986,0.0,0.0,0.0,0.0,1.0,0.0
1776898103.7890475,0.0,0.0,0.0,0.0,1.0,0.0
1776898107.7947216,0.0,0.0,1.0,0.0,2.0,0.0
1776898111.8403256,0.0,0.0,1.0,0.0,2.0,0.0
1776898115.8079364,0.0,0.0,1.0,0.0,2.0,0.0
1776898119.8543594,0.0,0.0,1.0,0.0,2.0,0.0
1776898123.855047,0.0,0.0,0.5,0.5,2.0,0.0
1776898127.8791656,0.0,0.0,0.0,0.0,2.0,0.0
1776898131.8699932,0.0,0.0,0.0,0.0,2.0,0.0
1776898135.8857672,0.0,0.0,0.0,0.0,2.0,0.0
1776898139.8902643,0.0,0.0,0.0,0.0,2.0,0.0
1776898143.8757358,0.0,0.0,0.0,0.0,2.0,0.0
1776898147.9193678,0.0,0.0,0.0,0.0,2.0,0.0
1776898151.9209344,0.0,0.0,0.0,0.0,2.0,0.0
1776898155.925497,0.0,0.0,1.0,0.0,1.0,0.0
1776898159.9310968,0.0,0.0,1.0,0.0,1.0,0.0
1776898163.9415321,0.0,0.0,1.0,0.0,1.0,0.0
1776898167.9430037,0.0,0.0,1.0,0.0,1.0,0.0
1776898171.9659264,0.0,0.0,1.0,0.0,1.0,0.0
1776898175.9940655,0.0,0.0,1.0,0.0,1.0,0.0
1776898179.9943988,0.0,0.0,1.0,0.0,1.0,0.0
1776898184.0217838,0.0,0.0,1.0,0.0,1.0,0.0
1776898188.0100725,0.0,0.0,1.0,0.0,1.0,0.0
1776898192.0216086,0.0,0.0,1.0,0.0,1.0,0.0
1776898196.0142365,0.0,0.0,1.0,0.0,1.0,0.0
1776898200.0289936,0.0,0.0,1.0,0.0,1.0,0.0
1776898204.0319455,0.0,0.0,1.0,0.0,1.0,0.0
1776898208.0737321,0.0,0.0,1.0,0.0,1.0,0.0
1776898212.090741,0.0,0.0,1.0,0.0,1.0,0.0
1776898216.0519521,0.0,0.0,0.0,0.0,0.0,0.0
1776898220.0937805,0.0,0.0,0.0,0.0,0.0,0.0
1776898224.0697742,0.0,0.0,0.0,0.0,0.0,0.0
1776898228.117649,0.0,0.0,1.0,0.0,1.0,0.0
1776898232.0880222,0.0,0.0,1.0,0.0,1.0,0.0
1776898236.1298983,0.0,0.0,1.0,0.0,1.0,0.0
1776898240.1392043,0.0,0.0,1.0,0.0,1.0,0.0
1776898244.1452377,0.0,0.0,1.0,0.0,1.0,0.0
1776898248.127383,0.0,0.0,1.0,0.0,1.0,0.0
1776898252.1276495,0.0,0.0,1.0,0.0,1.0,0.0
1776898256.1537762,0.0,0.0,1.0,0.0,1.5,0.5
1776898260.145259,0.0,0.0,1.0,0.0,2.0,0.0
1776898264.1840503,0.0,0.0,1.0,0.0,2.0,0.0
1776898268.188759,0.0,0.0,1.0,0.0,2.0,0.0
1776898272.1713073,0.0,0.0,1.0,0.0,2.0,0.0
1776898276.1786492,0.0,0.0,1.0,0.0,2.0,0.0
1776898280.1870723,0.0,0.0,0.5,0.5,2.0,0.0
1776898284.2190535,0.0,0.0,0.0,0.0,2.0,0.0
1776898288.2191634,0.0,0.0,0.0,0.0,1.0,0.0
1776898292.2203257,0.0,0.0,0.0,0.0,1.0,0.0
1776898296.2699072,0.0,0.0,0.0,0.0,1.0,0.0
1776898300.2791634,0.0,0.0,0.0,0.0,1.0,0.0
1776898304.2613628,0.0,0.0,0.0,0.0,1.0,0.0
1776898308.261938,0.0,0.0,0.0,0.0,1.0,0.0
1776898312.3112116,0.0,0.0,0.0,0.0,1.0,0.0
1776898316.2871256,0.0,0.0,0.0,0.0,0.5,0.5
1776898320.2829084,0.0,0.0,0.0,0.0,0.0,0.0
1776898324.288467,0.0,0.0,0.0,0.0,0.0,0.0
1776898328.3073437,0.0,0.0,0.0,0.0,0.0,0.0
1776898332.353562,0.0,0.0,0.0,0.0,0.0,0.0
1776898336.34958,0.0,0.0,0.0,0.0,0.0,0.0
1776898340.3555348,0.0,0.0,0.0,0.0,0.0,0.0
1776898344.3451803,0.0,0.0,0.0,0.0,0.0,0.0
1776898348.3894403,0.0,0.0,0.0,0.0,0.0,0.0
1776898352.3930314,0.0,0.0,0.0,0.0,0.0,0.0
1776898356.3959858,0.0,0.0,0.0,0.0,0.0,0.0
1776898360.4016662,0.0,0.0,0.0,0.0,0.0,0.0
1776898364.3889308,0.0,0.0,0.0,0.0,0.0,0.0
1776898368.4389064,0.0,0.0,0.0,0.0,0.0,0.0
1776898372.445229,0.0,0.0,0.0,0.0,1.0,0.0
1776898376.4480293,0.0,0.0,0.0,0.0,1.0,0.0
1776898380.4570298,0.0,0.0,0.0,0.0,1.0,0.0
1776898384.4645598,0.0,0.0,0.0,0.0,1.0,0.0
1776898388.4804962,0.0,0.0,0.0,0.0,1.0,0.0
1776898392.4766963,0.0,0.0,0.0,0.0,1.0,0.0
1776898396.4862623,0.0,0.0,0.0,0.0,1.0,0.0
1776898400.486888,0.0,0.0,0.5,0.5,1.5,0.5
1776898404.5148585,0.0,0.0,1.0,0.0,2.0,0.0
1776898408.5218503,0.0,0.0,0.0,0.0,2.0,0.0
1776898412.5239043,0.0,0.0,0.0,0.0,2.0,0.0
1776898416.530748,0.0,0.0,0.0,0.0,2.0,0.0
1776898420.54465,0.0,0.0,0.0,0.0,2.0,0.0
1776898424.5493906,0.0,0.0,0.0,0.0,2.0,0.0
1776898428.550144,0.0,0.0,0.0,0.0,2.0,0.0
1776898432.5572662,0.0,0.0,1.0,0.0,1.0,0.0
1776898436.5719073,0.0,0.0,1.0,0.0,1.0,0.0
1776898440.5751798,0.0,0.0,1.0,0.0,1.0,0.0
1776898444.6087258,0.0,0.0,1.0,0.0,1.0,0.0
1776898448.6117556,0.0,0.0,1.0,0.0,1.0,0.0
1776898452.6283255,0.0,0.0,1.0,0.0,1.0,0.0
1776898456.6175058,0.0,0.0,1.0,0.0,1.0,0.0
1776898460.6226172,0.0,0.0,0.5,0.5,0.5,0.5
1776898464.634555,0.0,0.0,0.0,0.0,0.0,0.0
1776898468.6788194,0.0,0.0,0.0,0.0,0.0,0.0
1776898472.6550653,0.0,0.0,0.0,0.0,0.0,0.0
1776898476.7074862,0.0,0.0,0.0,0.0,0.0,0.0
1776898480.7243593,0.0,0.0,0.0,0.0,0.0,0.0
1776898484.731918,0.0,0.0,0.0,0.0,0.5,0.5
1776898488.7251546,0.0,0.0,0.0,0.0,1.0,0.0
1776898492.7350051,0.0,0.0,0.0,0.0,1.0,0.0
1776898496.7303903,0.0,0.0,0.0,0.0,0.5,0.5
1776898500.7253847,0.0,0.0,0.0,0.0,0.0,0.0
1776898504.7510977,0.0,0.0,0.0,0.0,0.0,0.0
1776898508.757425,0.0,0.0,0.0,0.0,0.5,0.5
1776898512.7617111,0.0,0.0,0.0,0.0,1.0,0.0
1776898516.7798338,0.0,0.0,0.0,0.0,1.0,0.0
1776898520.782148,0.0,0.0,0.0,0.0,1.0,0.0
1776898524.7761772,0.0,0.0,0.0,0.0,1.0,0.0
1776898528.8158205,0.0,0.0,0.0,0.0,1.0,0.0
1776898532.8024337,0.0,0.0,0.0,0.0,1.0,0.0
1776898536.8180401,0.0,0.0,0.0,0.0,1.0,0.0
1776898540.853236,0.0,0.0,0.0,0.0,1.0,0.0
1776898544.8469336,0.0,0.0,0.0,0.0,0.5,0.5
1776898548.85759,0.0,0.0,0.0,0.0,0.0,0.0
1776898552.845542,0.0,0.0,0.0,0.0,0.0,0.0
1776898556.8616347,0.0,0.0,0.0,0.0,0.0,0.0
